,PRCP,TAVG,TMAX,TMIN,ANOMALY,SEASON_Autumn,SEASON_Spring,SEASON_Summer,SEASON_Winter
3545,-0.3794874446976634,0.8945422128967659,1.0408054521723105,0.8825115941835141,0.0,1.0,0.0,0.0,0.0
3546,1.515111428418947,0.8197267377924343,0.775380878725237,0.9732563951247313,0.0,1.0,0.0,0.0,0.0
3547,-0.273049305758528,0.7355593283000609,0.869563791883876,0.8421805715429734,0.0,1.0,0.0,0.0,0.0
3548,-0.3156245613341821,0.5765764437033557,0.6726358825521763,0.5699461687193226,0.0,1.0,0.0,0.0,0.0
3549,-0.3794874446976634,0.464353231046858,0.5784529693935373,0.4691186121179704,0.0,1.0,0.0,0.0,0.0
3550,-0.3156245613341821,0.5672245093153141,0.5442046373358506,0.6001944356997283,0.0,1.0,0.0,0.0,0.0
3551,-0.3794874446976634,0.4550012966588164,0.5527667203502721,0.44895310079770007,0.0,1.0,0.0,0.0,0.0
3552,-0.3794874446976634,0.32407421522623575,0.43289755814836817,0.2170497206145901,0.0,1.0,0.0,0.0,0.0
3553,-0.3794874446976634,0.38953775594252604,0.6383875504944894,0.20696696495445494,0.0,1.0,0.0,0.0,0.0
3554,-0.3794874446976634,0.38953775594252604,0.5442046373358506,0.11622216401323798,0.0,1.0,0.0,0.0,0.0
3555,-0.08146065566808422,0.6700957875837705,0.6298254674800677,0.6506082140004044,0.0,1.0,0.0,0.0,0.0
3556,-0.3156245613341821,0.6700957875837705,0.5698908863791158,0.832097815882838,0.0,1.0,0.0,0.0,0.0
3557,-0.3794874446976634,0.35213001839036007,0.38152506006183773,0.3380427885362128,0.0,1.0,0.0,0.0,0.0
3558,-0.3794874446976634,0.11833165868932302,0.33015256197530757,-0.014853659568519771,0.0,1.0,0.0,0.0,0.0
3559,-0.3794874446976634,0.30537034645015265,0.6212633844656459,0.06580838571256191,0.0,1.0,0.0,0.0,0.0
3560,0.45073003902759284,0.35213001839036007,0.4842700562348986,0.08597389703283245,0.0,1.0,0.0,0.0,0.0
3561,3.2394092792329405,0.4456493622707749,0.21028339977340332,0.7312702592814859,0.0,1.0,0.0,0.0,0.0
3562,-0.3794874446976634,0.03416424919694965,0.1845971507301384,-0.20642601711108877,0.0,1.0,0.0,0.0,0.0
3563,-0.25176167797070087,0.2960184120621112,0.38152506006183773,0.398539322497024,0.0,1.0,0.0,0.0,0.0
3564,0.046265111058878296,0.5017609685990237,0.33015256197530757,0.8119323045625677,0.0,1.0,0.0,0.0,0.0
3565,-0.29433693354635504,0.06222005236107416,0.1760350677157166,0.18680145363418457,0.0,1.0,0.0,0.0,0.0
3566,-0.3794874446976634,0.31472228083819415,0.347276728004151,0.4993668790983761,0.0,1.0,0.0,0.0,0.0
3567,-0.3794874446976634,0.30537034645015265,0.40721130910510295,0.3178772772159422,0.0,1.0,0.0,0.0,0.0
3568,-0.3794874446976634,0.19314713379365495,0.33015256197530757,0.14647043099364368,0.0,1.0,0.0,0.0,0.0
3569,-0.3794874446976634,0.24925874012190383,0.4842700562348986,0.11622216401323798,0.0,1.0,0.0,0.0,0.0
3570,-0.29433693354635504,0.426945493494692,0.5613288033646939,0.4388703451375649,0.0,1.0,0.0,0.0,0.0
3571,-0.12403591124373839,0.26796260889798673,0.3130283959464642,0.4388703451375649,0.0,1.0,0.0,0.0,0.0
3572,-0.3794874446976634,0.27731454328602834,0.3215904789608858,0.3582082998564831,0.0,1.0,0.0,0.0,0.0
3573,-0.3794874446976634,0.4175935591066506,0.6897600485810198,0.38845656683688884,0.0,1.0,0.0,0.0,0.0
3574,-0.3794874446976634,0.6139841812555215,0.9123742069559846,0.5699461687193226,0.0,1.0,0.0,0.0,0.0
3575,1.983439239751143,0.5765764437033557,0.7325704636531284,0.6909392366409453,1.0,1.0,0.0,0.0,0.0
3576,-0.3794874446976634,0.2960184120621112,0.26165589785993376,0.42878758947742956,0.0,1.0,0.0,0.0,0.0
3577,-0.3794874446976634,0.38953775594252604,0.6469496335089111,0.41870483381729434,0.0,1.0,0.0,0.0,0.0
3578,-0.3794874446976634,0.642039984419646,0.775380878725237,0.6506082140004044,0.0,1.0,0.0,0.0,0.0
3579,-0.3794874446976634,0.5952803124794386,0.6726358825521763,0.6304427026801338,0.0,1.0,0.0,0.0,0.0
3580,-0.3794874446976634,0.5952803124794386,0.681197965566598,0.6506082140004044,0.0,1.0,0.0,0.0,0.0
3581,-0.3794874446976634,0.426945493494692,0.4157733921195248,0.6001944356997283,0.0,1.0,0.0,0.0,0.0
3582,-0.08146065566808422,0.48305709982294087,0.4928321392493201,0.5396979017389171,0.0,1.0,0.0,0.0,0.0
3583,-0.3794874446976634,0.30537034645015265,0.43289755814836817,0.41870483381729434,0.0,1.0,0.0,0.0,0.0
3584,-0.3794874446976634,0.23990680573386236,0.27878006388877713,0.18680145363418457,0.0,1.0,0.0,0.0,0.0
3585,-0.3794874446976634,0.30537034645015265,0.4842700562348986,0.398539322497024,0.0,1.0,0.0,0.0,0.0
3586,-0.3794874446976634,0.17444326501757187,0.09041423757149938,0.26746349891526616,0.0,1.0,0.0,0.0,0.0
3587,-0.3794874446976634,-0.25574571683233627,-0.19213450190441742,-0.21650877277122402,0.0,1.0,0.0,0.0,0.0
3588,-0.3794874446976634,-0.5082479453094563,-0.2777553320486346,-0.5794879765360916,0.0,1.0,0.0,0.0,0.0
3589,0.30171664451280333,-0.3773208638768755,-0.3205657471207432,-0.3778328633333874,0.0,1.0,0.0,0.0,0.0
3590,-0.3794874446976634,-0.21833797928017032,-0.1578861698467305,-0.13584672749014234,0.0,1.0,0.0,0.0,0.0
3591,-0.3794874446976634,-0.3773208638768755,-0.3376899131495866,-0.42824664163406345,0.0,1.0,0.0,0.0,0.0
3592,-0.3794874446976634,-0.5456556828616222,-0.4575590753514907,-0.5089086869151451,0.0,1.0,0.0,0.0,0.0
3593,-0.25176167797070087,-0.8823253208311155,-0.8000423959283595,-0.8920534020002833,0.0,1.0,0.0,0.0,0.0
3594,1.7918505896606989,-0.9384369271593644,-0.9969703052600589,-0.7408120670982551,0.0,1.0,0.0,0.0,0.0
3595,0.23785376114932202,-1.0787159429799866,-1.082591135404276,-0.8517223793597424,0.0,1.0,0.0,0.0,0.0
3596,1.7492753340850449,-1.0226043366517377,-1.0140944712889024,-0.8416396236996072,0.0,1.0,0.0,0.0,0.0
